rank	file	subsystem	reason	current_awareness_result	recommended_annotations
11	golang/security/roles.go	security.rbac	Cluster role definitions. Edits change the authorization surface. Currently EMPTY in a critical-severity directory.	EMPTY	invariant:role_changes_require_explicit_review; failure_mode:silent_role_definition_drift_grants_unintended_privileges; intent:roles_table_is_authoritative_not_inferred_from_runtime
12	golang/rbac/rbac_server/rbac_cleanup.go	rbac.cleanup	RBAC delete operations. Wrong scope = privilege loss OR escalation. Critical-dir / EMPTY combination.	EMPTY	invariant:rbac_cleanup_must_dry_run_before_delete; failure_mode:rbac_cleanup_wrong_scope_grants_or_revokes_unintended_subjects; forbidden_fix:rbac_cleanup_with_unbounded_subject_scope
13	golang/cluster_controller/cluster_controller_server/main.go	cluster_controller.bootstrap	Controller bootstrap — mTLS / etcd init / leader election. 26 edits in 60 days. EMPTY in a critical directory.	EMPTY	invariant:controller_bootstrap_must_load_etcd_before_serving_grpc; invariant:controller_leader_election_uses_etcd_lease_not_local_state; failure_mode:controller_serves_before_leader_known
14	golang/cluster_controller/cluster_controller_server/component_catalog.go	cluster_controller.catalog	Package kind authority (the canonical registry). CLAUDE.md says "Never duplicate package kind classification. Use the canonical package registry." 20 edits / 60 days. EMPTY.	EMPTY	invariant:component_catalog_is_single_source_of_kind_truth; forbidden_fix:guess_package_kind_from_hardcoded_list; failure_mode:component_kind_inferred_from_filename_or_path
15	golang/cluster_controller/cluster_controller_server/dns_reconciler.go	cluster_controller.dns	DNS state mutation. THIN coverage. Wrong record = mesh outage; ghost records cited as a known concern.	THIN (2 anchors)	invariant:dns_writes_go_through_a_dns_reconciler_handle_only; intent:dns_runtime_evidence_required_before_record_published; failure_mode:dns_records_published_for_planned_but_not_installed_services
16	golang/cluster_controller/cluster_controller_server/reconcile_nodes.go	cluster_controller.reconciler	Node-state reconciler. 31 edits / 60 days. Has 1 inv + 1 fm + 1 incident pattern; needs the 4-layer-state intent.	THIN (3 anchors)	intent:reconcile_walks_repository_desired_installed_runtime_in_order; invariant:reconcile_must_not_collapse_4_layer_state; failure_mode:reconcile_treats_installed_state_as_desired_authority
17	golang/node_agent/node_agent_server/workflow_day0.go	node_agent.day0	Day-0 install workflow — bootstrap path. EMPTY despite multiple incident learnings around day-0 (memory has session_join_install_contract, etc.).	EMPTY	invariant:day0_must_complete_install_contract_before_marking_node_joined; failure_mode:day0_phase_skip_leaves_etcd_with_partial_join_state; intent:day0_join_is_idempotent_safe_to_replay
18	golang/repository/repository_server/release_index.go	repository.bom	release-index.json — the platform BOM. Mutation = cluster identity change. THIN (1 inv + 1 intent) for the load-bearing file.	THIN (2 anchors)	invariant:release_index_writes_require_signed_provenance; intent:release_index_is_platform_truth_not_per_service_state; failure_mode:release_index_partial_write_creates_split_brain_bom
19	golang/cluster_doctor/cluster_doctor_server/main.go	cluster_doctor.bootstrap	Doctor bootstrap — wires healer, executor, gatedDispatcher, collector. 15 edits / 60 days. EMPTY despite being the assembly point for everything Patch C touches.	EMPTY	invariant:doctor_bootstrap_must_install_audit_etcd_persist_fn_before_serving; intent:doctor_main_assembles_healer_executor_dispatcher_collector_in_order; failure_mode:doctor_serves_grpc_before_collector_warmed_up
20	golang/node_agent/node_agent_server/certificate.go	node_agent.pki	Per-node cert lifecycle. 12 edits / 60 days. THIN (1 intent on rotation timing). Wrong cert handling = mTLS failure or stale-cert silent acceptance.	THIN (1 intent only)	invariant:certificate_renewal_must_validate_chain_before_install; invariant:expired_cert_must_block_grpc_serving; failure_mode:cert_rotation_skipped_because_local_filesystem_clock_skew
